x,y,dx,dy,
1.36639194e+01,-4.06627941e+00,0.00000000e+00,0.00000000e+00,
1.36558657e+01,-4.05715275e+00,0.00000000e+00,0.00000000e+00,
1.36719923e+01,-4.07656765e+00,0.00000000e+00,0.00000000e+00,
1.36632996e+01,-4.03375912e+00,0.00000000e+00,0.00000000e+00,
1.36458216e+01,-4.06589079e+00,0.00000000e+00,0.00000000e+00,
1.36709213e+01,-4.07668066e+00,0.00000000e+00,0.00000000e+00,
1.35088825e+01,-3.88224530e+00,-2.86976844e-01,3.07416897e-02,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.36006098e+01,-4.02632856e+00,0.00000000e+00,0.00000000e+00,
1.36136799e+01,-4.00623322e+00,0.00000000e+00,0.00000000e+00,
1.36018162e+01,-3.99321342e+00,0.00000000e+00,0.00000000e+00,
1.36206417e+01,-4.01542759e+00,0.00000000e+00,0.00000000e+00,
1.36125088e+01,-3.96436191e+00,0.00000000e+00,0.00000000e+00,
1.35921841e+01,-4.00316286e+00,0.00000000e+00,0.00000000e+00,
1.36189861e+01,-4.01829386e+00,0.00000000e+00,0.00000000e+00,
1.34430256e+01,-3.79524660e+00,-3.28015924e-01,3.83161716e-02,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.35419960e+01,-3.96108699e+00,0.00000000e+00,0.00000000e+00,
1.35586157e+01,-3.93462539e+00,0.00000000e+00,0.00000000e+00,
1.35418921e+01,-3.91687822e+00,0.00000000e+00,0.00000000e+00,
1.35638418e+01,-3.94087243e+00,0.00000000e+00,0.00000000e+00,
1.35564718e+01,-3.88317251e+00,0.00000000e+00,0.00000000e+00,
1.35330162e+01,-3.92776370e+00,0.00000000e+00,0.00000000e+00,
1.35611200e+01,-3.94735360e+00,0.00000000e+00,0.00000000e+00,
1.33716516e+01,-3.69818044e+00,-3.70884240e-01,4.65225950e-02,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.34781895e+01,-3.88535595e+00,0.00000000e+00,0.00000000e+00,
1.34987135e+01,-3.85181022e+00,0.00000000e+00,0.00000000e+00,
1.34763746e+01,-3.82852745e+00,0.00000000e+00,0.00000000e+00,
1.35017424e+01,-3.85334587e+00,0.00000000e+00,0.00000000e+00,
1.34951925e+01,-3.79044104e+00,0.00000000e+00,0.00000000e+00,
1.34684496e+01,-3.84009242e+00,0.00000000e+00,0.00000000e+00,
1.34974766e+01,-3.86419487e+00,0.00000000e+00,0.00000000e+00,
1.32918425e+01,-3.57349324e+00,-4.18391377e-01,5.64852245e-02,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.34081907e+01,-3.79602838e+00,0.00000000e+00,0.00000000e+00,
1.34326057e+01,-3.75435042e+00,0.00000000e+00,0.00000000e+00,
1.34050074e+01,-3.72462916e+00,0.00000000e+00,0.00000000e+00,
1.34337997e+01,-3.75090837e+00,0.00000000e+00,0.00000000e+00,
1.34275036e+01,-3.68132234e+00,0.00000000e+00,0.00000000e+00,
1.33977957e+01,-3.73744607e+00,0.00000000e+00,0.00000000e+00,
1.34279108e+01,-3.76683068e+00,0.00000000e+00,0.00000000e+00,
1.32041693e+01,-3.45505047e+00,-4.68977958e-01,6.62720576e-02,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.33322363e+01,-3.69593406e+00,0.00000000e+00,0.00000000e+00,
1.33616838e+01,-3.64557481e+00,0.00000000e+00,0.00000000e+00,
1.33263788e+01,-3.60887790e+00,0.00000000e+00,0.00000000e+00,
1.33601637e+01,-3.63490677e+00,0.00000000e+00,0.00000000e+00,
1.33541946e+01,-3.56205010e+00,0.00000000e+00,0.00000000e+00,
1.33202038e+01,-3.62231469e+00,0.00000000e+00,0.00000000e+00,
1.33514595e+01,-3.65561771e+00,0.00000000e+00,0.00000000e+00,
1.31114883e+01,-3.32946992e+00,-5.19723415e-01,7.63912573e-02,
