x,y,dx,dy,
1.33464050e+01,-3.40674949e+00,0.00000000e+00,0.00000000e+00,
1.33959599e+01,-3.38370562e+00,0.00000000e+00,0.00000000e+00,
1.33304234e+01,-3.37031150e+00,0.00000000e+00,0.00000000e+00,
1.32895079e+01,-3.26691318e+00,0.00000000e+00,0.00000000e+00,
1.32397394e+01,-3.10404968e+00,0.00000000e+00,0.00000000e+00,
1.32374601e+01,-3.06648517e+00,0.00000000e+00,0.00000000e+00,
1.33636036e+01,-3.29579639e+00,0.00000000e+00,0.00000000e+00,
1.32287188e+01,-3.25682282e+00,0.00000000e+00,0.00000000e+00,
7.90000000e+01,1.90000000e+01,1.53666668e+09,0.00000000e+00,
1.32609901e+01,-3.28992271e+00,0.00000000e+00,0.00000000e+00,
1.33079367e+01,-3.25634098e+00,0.00000000e+00,0.00000000e+00,
1.32374582e+01,-3.24026394e+00,0.00000000e+00,0.00000000e+00,
1.31935720e+01,-3.11382532e+00,0.00000000e+00,0.00000000e+00,
1.31416550e+01,-2.92400694e+00,0.00000000e+00,0.00000000e+00,
1.31319628e+01,-2.87448907e+00,0.00000000e+00,0.00000000e+00,
1.32780504e+01,-3.14805102e+00,0.00000000e+00,0.00000000e+00,
1.31334448e+01,-3.11097288e+00,0.00000000e+00,0.00000000e+00,
7.90000000e+01,1.90000000e+01,1.53666668e+09,0.00000000e+00,
1.31670218e+01,-3.15135193e+00,0.00000000e+00,0.00000000e+00,
1.32103052e+01,-3.10352659e+00,0.00000000e+00,0.00000000e+00,
1.31369257e+01,-3.08666897e+00,0.00000000e+00,0.00000000e+00,
1.30890884e+01,-2.93832994e+00,0.00000000e+00,0.00000000e+00,
1.30361843e+01,-2.71783376e+00,0.00000000e+00,0.00000000e+00,
1.30174875e+01,-2.65206289e+00,0.00000000e+00,0.00000000e+00,
1.31835155e+01,-2.97371387e+00,0.00000000e+00,0.00000000e+00,
1.30361958e+01,-2.97837138e+00,0.00000000e+00,0.00000000e+00,
7.90000000e+01,1.90000000e+01,1.53666668e+09,0.00000000e+00,
1.30698957e+01,-3.01217389e+00,0.00000000e+00,0.00000000e+00,
1.31077805e+01,-2.95117784e+00,0.00000000e+00,0.00000000e+00,
1.30285254e+01,-2.92878294e+00,0.00000000e+00,0.00000000e+00,
1.29787312e+01,-2.75552940e+00,0.00000000e+00,0.00000000e+00,
1.29303532e+01,-2.51833797e+00,0.00000000e+00,0.00000000e+00,
1.29025345e+01,-2.43784881e+00,0.00000000e+00,0.00000000e+00,
